Reference,Bathrooms,Contrat,Energy_Class,Sale_Price,Property_Type,Year_Construction,Surface,Energy_Consumption,Elevator,Publish_date,Floor,Street,Heating,City,Country,Autonomous_Community,Bedrooms,Zone
599203,1 baño,venta,e,220000,Popular,1993,76.00,163 kWh/m&sup2; año,Sí,2024-10-25 18:30:39,5 (planta alta),Calle Cubel,Independiente (Gas),Zaragoza,es,Aragón,2 dorm.,Las Fuentes
598088,1 baño,venta,f,98000,Popular,1961,60.00,309 kWh/m&sup2; año,Sí,2024-10-16 11:50:12,2 (planta media),Calle Octavio García Burriel,,Zaragoza,es,Aragón,3 dorm.,Las Fuentes
593125,1 baño,venta,e,145000,Popular,1975,100.00,154 kWh/m&sup2; año,,2024-09-03 13:12:30,3 (planta media),Plaza san victorian,,Zaragoza,es,Aragón,3 dorm.,Las Fuentes
597714,1 baño,venta,e,147000,Señorial,1965,70.00,"177,1 kWh/m&sup2; año",,2024-10-16 12:00:03,Baja,Calle Mariano Castillo,Independiente (Gas),Zaragoza,es,Aragón,3 dorm.,Almozara
586526,2 baños,venta,g,210000,Media,1994,105.00,132 kWh/m&sup2; año,,2024-06-19 21:41:27,Baja,C. Ramón Trujillo Torres,,Santa Cruz De Tenerife,es,Canarias,2 dorm.,Cruz Del Señor
599044,1 baño,venta,e,175000,Señorial,1974,97.00,52 kWh/m&sup2; año,,2024-10-28 14:34:04,2 (planta media),Alcalde mandillo tejera,,Santa Cruz De Tenerife,es,Canarias,3 dorm.,Cruz Del Señor
594549,1 baño,venta,g,205000,Popular,1900,115.00,110 kWh/m&sup2; año,,2024-10-15 19:44:00,Baja,C. Porlier,,Santa Cruz De Tenerife,es,Canarias,3 dorm.,Santa Cruz De Tenerife
589656,2 baños,venta,g,288000,Popular,1971,97.00,132 kWh/m&sup2; año,Sí,2024-07-31 17:39:11,3 (planta media),C. Jorge Manrique,,Santa Cruz De Tenerife,es,Canarias,3 dorm.,La Salle
599103,1 baño,venta,g,174000,Media,1970,47.00,132 kW h/m&sup2; año,,2024-10-25 19:06:03,6,C. Tirso de Molina,,Santa Cruz De Tenerife,es,Canarias,1 dorm.,La Salle
596204,2 baños,venta,g,285000,Popular,1986,86.00,120 kW h/m&sup2; año,,2024-10-11 12:44:57,Media,Rbla. de Sta. Cruz,,Santa Cruz De Tenerife,es,Canarias,3 dorm.,Santa Cruz De Tenerife
585517,2 baños,venta,g,379000,Media,2001,109.00,147 kW h/m&sup2; año,Sí,2024-07-01 10:21:23,1 (planta media),Av. de Madrid,,Santa Cruz De Tenerife,es,Canarias,4 dorm.,Santa Cruz De Tenerife
